=== FOREIGN KEY RELATIONSHIPS ===
          table_name          |        column_name        |     foreign_table     | foreign_column 
 PurchaseRequisitions         | SuggestedVendorId         | Vendors               | Id
 ReorderAlerts                | CompanyId                 | Companies             | Id
 ReorderAlerts                | ItemId                    | Items                 | Id
 ReorderAlerts                | RequisitionId             | PurchaseRequisitions  | Id
 Sites                        | CompanyId                 | Companies             | Id
 Skills                       | CraftId                   | Crafts                | Id
 Technicians                  | CostCenterId              | CostCenters           | Id
 Technicians                  | DepartmentId              | Departments           | Id
 UsTaxSettings                | AssetId                   | Assets                | Id
 UsefulLifeEntries            | UsefulLifeTableId         | UsefulLifeTables      | Id
 VendorInvoiceLines           | CostCenterId              | CostCenters           | Id
 VendorInvoiceLines           | GlAccountId               | GlAccounts            | Id
 VendorInvoiceLines           | GoodsReceiptLineId        | GoodsReceiptLines     | Id
 VendorInvoiceLines           | PurchaseOrderLineId       | PurchaseOrderLines    | Id
 VendorInvoiceLines           | VendorInvoiceId           | VendorInvoices        | Id
 VendorInvoices               | ApprovedById              | Users                 | Id
 VendorInvoices               | CompanyId                 | Companies             | Id
 VendorInvoices               | VendorId                  | Vendors               | Id
 VendorItemParts              | ItemId                    | Items                 | Id
 VendorItemParts              | ItemManufacturerPartId    | ItemManufacturerParts | Id
 VendorItemParts              | VendorId                  | Vendors               | Id
 Vendors                      | CompanyId                 | Companies             | Id
 Vendors                      | DefaultGlAccountId        | GlAccounts            | Id
 WebhookDeliveryLogs          | OutboxEventId             | OutboxEvents          | Id
 WebhookDeliveryLogs          | WebhookSubscriptionId     | WebhookSubscriptions  | Id
 WebhookSubscriptions         | CompanyId                 | Companies             | Id
 WorkOrderOperationLabors     | WorkOrderOperationId      | WorkOrderOperations   | Id
 WorkOrderOperationParts      | ItemId                    | Items                 | Id
 WorkOrderOperationParts      | WorkOrderOperationId      | WorkOrderOperations   | Id
 WorkOrderOperationTools      | WorkOrderOperationId      | WorkOrderOperations   | Id
 WorkOrderOperations          | AssignedTechnicianId      | Technicians           | Id
 WorkOrderOperations          | CraftId                   | Crafts                | Id
 WorkOrderOperations          | MaintenanceEventId        | MaintenanceEvents     | Id
 WorkOrderParts               | IssuedFromLocationId      | Locations             | Id
 WorkOrderParts               | ItemId                    | Items                 | Id
 WorkOrderParts               | MaintenanceEventId        | MaintenanceEvents     | Id
 WorkRequests                 | AssetId                   | Assets                | Id
 WorkRequests                 | CompanyId                 | Companies             | Id
 WorkRequests                 | GeneratedWorkOrderId      | MaintenanceEvents     | Id
 WorkRequests                 | LocationId                | Locations             | Id
 WorkRequests                 | SiteId                    | Sites                 | Id
(235 rows)

